"id","experience_R","experience_datatable","usage_frequency","usage_context","usage_area","appreciate_most","biggest_challenges","desired_extra_functionality","satisfaction1_performance","satisfaction1_readability","satisfaction1_concise","satisfaction1_nonbreaking","satisfaction1_mindeps","satisfaction1_errors","satisfaction1_docs","importance_performance","importance_readability","importance_concise","importance_nonbreaking","importance_mindeps","importance_errors","importance_docs","satisfaction2_io","satisfaction2_filter","satisfaction2_reshape","satisfaction2_joins","satisfaction2_manip","pipe_helper_usefulness","walrus_alias","contribution_interest","contribution_areas_interest","contribution_areas_previous","contribution_easier","values_et_al","agreements_et_al","gov_docs_rolemodels","anything_else","responses_sharing"
11,"7+ years","4 - 7 years","Every day","Professionally;Side projects;","Data preparation;As a dependency in my R package(s);In production;","< masked >","< masked >","< masked >","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Important","Very important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Very satisfied","Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Very satisfied","Not useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Giving talks/tutorials on data.table;Writing/editing documentation;","Spreading the word about data.table;Giving talks/tutorials on data.table;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
12,"7+ years","4 - 7 years","Occasionally","Side projects;Professionally;Academic research;","As a dependency in my R package(s);In production;","How fast it is and how it can handle large quantities of data","I don't know it enough and mostly I use dtplyr to use it.",NA,"Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Very satisfied",NA,"Very satisfied","Extremely important","Somewhat important","Somewhat important","Important","Extremely important","Very important","Extremely important","Very satisfied","Very satisfied",NA,NA,"Somewhat satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Reporting issues;Reviewing R code;","Spreading the word about data.table;","A fast feedback cycle","Objectives: Be fast and keep most of the back compatibility. Values:? Principles: ?","The governing file is a start, clarify what happens with the copyright would be another, I wouldn't seek to have specific roles but somewhat the proposed reviewer scheme might work well.","I think Bioconductor is widely different but it does a good job governing the packages it holds.","Some questions provide a short answer box, maybe people isn't incentivized to write too much.",NA
13,"4 - 7 years","4 - 7 years","Every day","Professionally;Side projects;","Data preparation;Statistical analysis;As a dependency in my R package(s);In Shiny apps;","Compact syntax","learning the syntax","default multi-core functionality for big data","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Extremely important","Very important","Very important","Important","Important","Very important","Very important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;","Spreading the word about data.table;Giving talks/tutorials on data.table;",NA,NA,NA,NA,NA,NA
14,"7+ years","4 - 7 years","Every week","Professionally;Academic research;","Data preparation;As a dependency in my R package(s);","fast and memory efficient","syntax",NA,"Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Extremely important","Extremely important",NA,"Important","Important","Important","Extremely important","Very satisfied","Somewhat satisfied","Somewhat dissatisfied","Somewhat satisfied","Somewhat satisfied","Somewhat useful to me","DT[,c(new1 = sum(colB), new2 = sum(colC))]","No",NA,NA,NA,"interoperability with other ecosystems e.g parquet, duckdb",NA,NA,NA,NA
15,"2 - 4 years","2 - 4 years","Every week","Academic research;Side projects;","Data preparation;As a dependency in my R package(s);Statistical analysis;",NA,NA,NA,"Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Yes","Giving talks/tutorials on data.table;GitHub issue triage (adding labels to issues, finding new issues to prioritize and old issues to close, etc.);Writing/editing documentation;Reviewing R code;Submitting R code;","Spreading the word about data.table;",NA,NA,NA,NA,"re question 12: I've just been using ""|> (`[`)()""but some people do find that annoying so maybe the convinience function would be useful; re question 13: 'let' would be better for '.(tmp1 = sum(colB)')' as it's not a permanent change",NA
16,"7+ years","7+ years","Every day","Professionally;Side projects;","Data preparation;As a dependency in my R package(s);Statistical analysis;","Speed","Joins, meta programming and mutability","Improved nafill operations and a way to check if col_a is like col_b so some kind of fast row wise grew between columns.","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Extremely important","Important","Somewhat important","Extremely important","Important","Very important","Important","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat dissatisfied","Somewhat satisfied","Somewhat useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Writing/editing documentation;","Spreading the word about data.table;","If it was possible to talk to developers in the community to better understand how to do some things such that I could create some complementary documents to those already existing.",NA,NA,NA,"There is concern that data,table is stagnating. It’s a great package and the community should be empowered to manage/develop it to its full potential.",NA
17,"7+ years","4 - 7 years","Occasionally","Academic research;","Statistical analysis;","setting a value for a subset of the data","metaprogramming and the such (also a challenge with other options)","reading fixed width files, preferably with SAS data dictionary","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;","Not really, it's mostly about competing priorities. I do recommend data.table and help others use it, but it's low key","I don't have an opinion, I just think the project must have gotten something right because it did achieve a lot.","I don't have an opinion, I just think the project must have gotten something right because it did achieve a lot.","I don't have an opinion, I just think the project must have gotten something right because it did achieve a lot.",NA,NA
18,"7+ years","7+ years","Every day","Professionally;","Data preparation;In production;","< masked >","< masked >","< masked >","Very satisfied","Somewhat dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Extremely important","Important","Very important","Extremely important","Extremely important","Very important","Very important","Neither satisfied nor dissatisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Reporting issues;GitHub issue triage (adding labels to issues, finding new issues to prioritize and old issues to close, etc.);Adding translations;Reviewing R code;","Spreading the word about data.table;I haven't contributed to data.table yet;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
19,"7+ years","7+ years","Every day","Professionally;Academic research;","Data preparation;As a dependency in my R package(s);Statistical analysis;Machine learning;","speed/memory efficiency, flexibility","bugs like when using `by` in `j` for side effects (ggtitle when abusing data.table as loop), efficiently expressing operations that theoretically would not require generating the full join (using `on` an `by` at the same time)","non-equi joins that don't require generating temporary variables","Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat dissatisfied","Neither satisfied nor dissatisfied","Extremely important","Very important","Very important","Very important","Not important at all","Somewhat important","Important","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Not useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","I'm not currently interested in contributing to data.table;Reporting issues;Submitting requests for new features;GitHub issue triage (adding labels to issues, finding new issues to prioritize and old issues to close, etc.);","Reporting issues;Submitting requests for new features;","data.table has to many open issues to efficiently search for existing issues",NA,NA,NA,NA,NA
20,"4 - 7 years","4 - 7 years","Occasionally","Professionally;Side projects;","Data preparation;As a dependency in my R package(s);","speed","special syntax",NA,"Very satisfied","Somewhat dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat dissatisfied","Very important","Extremely important","Somewhat important","Somewhat important","Not important at all","Important","Very important","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Very useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","Spreading the word about data.table;",NA,NA,NA,NA,NA,NA
